"id-missouri-mo_vtds20-34-StateSenateDistricts",assignment
29047000042,7
29047000002,7
29047000039,7
29047162127,7
29047000033,7
29047000037,7
29047000047,7
29047000036,7
29047000068,7
29047000043,7
29013002801,8
29013002701,8
29013002767,8
29013002814,8
29013002705,8
29013002703,8
29013002825,8
29013002868,8
29013002892,8
29013002850,8
29013002849,8
29013002904,8
29013002722,8
29013002847,8
29013002930,8
29217000012,8
29217000011,8
29217000017,8
29217000005,8
29217000010,8
29217000016,8
29217000002,8
29217000014,8
29217000007,8
29217000004,8
29217000008,8
29217000009,8
29217000003,8
29217000013,8
29217000006,8
29217000015,8
29011000016,8
29011000010,8
29011000011,8
29011000004,8
2901116-018,8
2901116-021,8
29011000008,8
29011000015,8
29057003289,8
29057003263,8
29057003244,8
29057003243,8
29057003294,8
29057003300,8
29057003246,8
29057003330,8
29039003178,8
29039003052,8
29039003054,8
29039003057,8
29039003139,8
29039003092,8
29039003129,8
29039003191,8
29039003192,8
29185000016,8
29185000012,8
29185000013,8
29185000003,8
29185000010,8
29185000004,8
29185000009,8
29185000015,8
29185000006,8
29185000014,8
29185000002,8
29185000005,8
29185000007,8
29185000008,8
29185000019,8
29185000011,8
29185000017,8
29185000018,8
29167000008,8
29167000009,8
29167000003,8
29167000020,8
29167000002,8
29167000013,8
29167000021,8
29167000018,8
29167000007,8
29167000006,8
29167000015,8
29167000023,8
29167000019,8
29167000011,8
29167000016,8
29167000005,8
29167000010,8
29167000004,8
29167000022,8
29167000012,8
29167000017,8
29167000014,8
29085000002,8
29085000010,8
29085000009,8
29085000003,8
29085000011,8
29085000004,8
29085000005,8
29085000006,8
29085000007,8
29085000008,8
29015000008,8
29015000009,8
290150012-6,8
29015000002,8
29015000005,8
29015000007,8
29015000004,8
29015000001,8
29159000027,8
29159000004,8
29159000002,8
29159000003,8
29159000006,8
29159000007,8
29159000025,8
29159000012,8
29159000013,8
29159000009,8
29159000024,8
29159000011,8
29159000014,8
29159000023,8
29159000020,8
29159000018,8
29159000017,8
29159000016,8
29159000015,8
29159000019,8
29159000008,8
29159000021,8
29159000026,8
29159000022,8
29159000010,8
29159000005,8
29095000177,9
29095000313,9
29095K16218,9
29095000157,9
29095000300,9
29095000301,9
29095000299,9
29095000298,9
29095000308,9
29095KC1209,9
29095000180,9
29095000179,9
29095000183,9
29095000178,9
29095KC1107,9
29095000181,9
29095000186,9
29095000187,9
29095000188,9
29095000189,9
29095000190,9
29095000191,9
29095000192,9
29095KC1111,9
29095000185,9
29095000310,9
29095000201,9
29095000193,9
29095000194,9
29095000182,9
29095000307,9
29095000213,9
29095000212,9
29095000207,9
29095000208,9
29095000209,9
29095000204,9
29095000205,9
29095000219,9
29095000217,9
29095000214,9
29095000312,9
29095000311,9
29095K16106,9
29095000302,9
29095K16419,9
29095k16429,9
29095000414,9
29095000304,9
29095K16207,9
29095000303,9
29095000306,9
29095000305,9
29095000215,9
29095000216,9
29095000218,9
29095KC1504,9
29095000211,9
29095000210,9
29095000223,9
29095000230,9
29095000227,9
29095000233,9
29095K16718,9
29095000231,9
29095000232,9
29095000221,9
29095000220,9
29095000415,9
29095000422,9
29095000420,9
29095K16316,9
29095000413,9
29095000412,9
29095000424,9
29095000458,9
29095000462,9
29095000464,9
29095000469,9
29095000467,9
29095000238,9
29095000239,9
29095000241,9
29095000460,9
29095000423,9
29095000421,9
29095000459,9
29095000471,9
29095000463,9
29095000461,9
29095000419,9
29095000418,9
29095000417,9
29095000416,9
29095000470,9
29095000245,9
29095000244,9
29095000246,9
29095000228,9
29095000224,9
29095000222,9
29095000243,9
29095000258,9
29095000247,9
29095000256,9
29095000242,9
29095000235,9
29095000236,9
29095000251,9
29095000255,9
29095000253,9
29095000254,9
29095000264,9
29095000266,9
29095000267,9
29095000259,9
29095000268,9
29095000269,9
29095000270,9
29095000276,9
29095000272,9
29095000271,9
29095000265,9
29095000273,9
29095000275,9
29095000285,9
29095000284,9
29095000263,9
29095000250,9
29095000257,9
29095KC1607,9
29095000286,9
29095000282,9
29095000281,9
29095000279,9
29095000280,9
29095000260,9
29095000248,9
29095000249,9
29095000292,9
29095000234,9
29095000229,9
29095000226,9
29095000337,9
29095KC1515,9
29095KC1310,9
29095KC1212,9
29095000176,9
29095KC1110,9
29095KC1113,9
29095000184,9
29095000288,9
29095000287,9
29095000169,9
29095000168,9
29095000172,9
29095000291,9
29095000289,9
29095000283,9
29095000293,9
29095KC1907,9
29095KC1905,9
29095KC1920,9
29095000295,9
29095000173,9
29095KC1915,9
29095000400,9
29095000403,9
29095000290,9
29095000314,9
29095000315,9
29095000408,9
29095000407,9
29095000406,9
29095000386,9
29095KC2613,9
29095000404,9
29095000375,9
29095000374,9
29095KC2612,9
29095KC2608,9
29095000405,9
29095KC2611,9
29095KC2607,9
29095000348,9
29095000347,9
29095000349,9
29095KC2312,9
29095000350,9
29095000261,9
29095000277,9
29095000399,9
29095000402,9
29095000278,9
29095KC2304,9
29095000116,9
29095000125,9
29095BR1611,9
29095BR1612,9
29095000130,9
29095000120,9
29095000136,9
29095000354,9
29095000109,9
29095000131,9
29095KC1916,9
29095000409,9
29095000388,9
29095000391,9
29095000398,9
29095000392,9
29095000394,9
29095000387,9
29095000648,9
29095000395,9
29095000393,9
29095000390,9
29095000401,9
29095000129,9
29095000373,9
29095000389,9
29095000372,9
29095000371,9
29095BR1619,11
29095000368,11
29095KC2512,9
29095000151,10
29095000150,10
29095000149,10
29095000175,10
29095000148,10
29095000153,10
29095000152,10
29095000154,10
29095000426,10
29095000425,10
29095000427,10
29095000431,10
29095000430,10
29095000429,10
29095000428,10
29095000156,10
29095000155,10
29095000437,10
29095000442,10
29095000433,10
29095000436,10
29095000434,10
29095000432,10
29095000435,10
29095000441,10
29095000443,10
29095000446,10
29095KC1042,10
29095000444,10
29095000450,10
29095000448,10
29095000449,10
29095000452,10
29095000447,10
29095K16457,10
29095K16513,10
29095000440,10
29095000451,10
29095K16512,10
29095000439,10
29095000438,10
29095000159,10
29095K16449,10
29095K16439,10
29095K16459,10
29095K16467,10
29095K16463,10
29095K16469,10
29095000456,10
29095000455,10
29095K16611,10
29095000474,10
29095000482,10
29095000485,10
29095000475,10
29095000484,10
29095000483,10
29095000490,10
29095K16903,10
29095K16811,10
29095000481,10
29095000489,10
29095K16913,10
29095000492,10
29095000480,10
29095000491,10
29095000486,10
29095000497,10
29095000296,10
29095000496,10
29095000162,10
29095000494,10
29095000493,10
29095000488,10
29095000478,10
29095000476,10
29095000479,10
29095K16804,10
29095000477,10
29095000454,10
29095K16814,10
29095000453,10
29095000457,10
29095000495,10
29095000160,10
29095000161,10
29095000163,10
29095000164,10
29095000167,10
29095KC1004,10
29095000165,10
29095000324,10
29095000166,10
29095KC1010,10
29095000174,10
29095000326,10
29095000319,10
29095KC1904,10
29095000327,10
29095K16615,10
29095K16815,10
29095000663,10
29095000662,10
29095000334,10
29095000321,10
29095KC2010,10
29095000318,10
29095000316,10
29095000322,10
29095000317,10
29095KC2003,10
29095000320,10
29095000333,10
29095KC2213,10
29095000331,10
29095000332,10
29095000329,10
29095000328,10
29095000330,10
29095KC2201,10
29095000335,10
29095KC2212,10
29095000664,10
29095000650,10
29095000655,10
29095000651,10
29095000654,10
29095000661,10
29095000660,10
29095000658,10
29095000396,10
29095000510,10
29095000656,10
29095000197,11
29095000196,11
29095000002,11
29095160102,11
29095000200,11
29095000198,11
29095000195,11
29095000202,11
29095000338,11
29095000008,11
29095KC1314,11
29095000203,11
29095KC1523,11
29095000206,11
29095160103,11
29095000225,11
29095000339,11
29095000353,11
29095KC1516,11
29095000346,11
29095KC2308,11
29095000055,11
29095000344,11
29095000345,11
29095KC1507,11
29095KC1313,11
29095KC1311,11
29095BR1610,11
29095000343,11
29095000132,11
29095BR1620,11
29095000134,11
29095BRNO06,11
29095000364,11
29095000356,11
29095000357,11
29095BR1608,11
29095000355,11
29095BR1613,11
29095000123,11
29095000128,11
29095000366,11
29095KC2403,11
29095000358,11
29095000359,11
29095000081,11
29095000084,11
29095000082,11
29095KC2301,11
29095000092,11
29095000091,11
29095000342,11
29095000341,11
29095000090,11
29095000340,11
29095000088,11
29095KC2302,11
29095KC1520,11
29095000064,11
29095000056,11
29095000059,11
29095000057,11
29095000052,11
29095000047,11
29095160406,11
29095160104,11
29095000016,11
29095000003,11
29095000006,11
29095000010,11
29095000017,11
29095000019,11
29095000044,11
29095000045,11
29095000025,11
29095000020,11
29095000026,11
29095000043,11
29095000024,11
29095000069,11
29095000071,11
29095000072,11
29095000067,11
29095000066,11
29095000079,11
29095000060,11
29095000062,11
29095000095,11
29095000054,11
29095000061,11
29095000050,11
29095000097,11
29095000096,11
29095000107,11
29095000099,11
29095000104,11
29095000100,11
29095000103,11
29095000086,11
29095000087,11
29095000076,11
29095000029,11
29095000506,10
29095000508,10
29095PR1625,10
29095000515,10
29095000397,10
29095000512,10
29095000511,10
29095000509,10
29095KC2419,11
29095000022,11
29095000023,11
29095000035,11
29095000034,11
29095000036,11
29095000015,11
29095000007,11
29095000037,11
29095000031,11
29095000032,11
29095000033,11
29095000138,11
29095FO1601,11
29095000140,11
29095000030,11
29095000143,11
29095000142,11
29095FO1609,11
29095000146,11
29095000144,11
29095000145,11
29095000147,11
29095000514,10
29095PR1610,10
29095000517,10
29095000516,10
29095000567,10
29095000550,12
29095000552,12
29095000383,11
29095000363,11
29095000369,11
29095KC2416,11
29095000385,11
29095000365,11
29095000554,11
29095000362,11
29095KC2423,11
29095000370,11
29095KC2427,11
29095KC2414,11
29095KC2428,11
29095000382,11
29095000379,11
29095000361,11
29095000378,11
29095KC2430,11
29095000360,11
29095000518,11
29095000527,12
29095000593,12
29095000606,12
29095000633,12
29095000622,12
29095000612,12
29095000631,12
29095000632,12
29095000610,12
29095000634,12
