"id-virginia-va_adj_vtds20-40-StateSenateDistricts",assignment
51740000016,23
51740000017,23
51740000029,23
51740000033,23
51740000010,23
51740000025,23
51740000030,23
51740000001,23
51683000004,8
51683000003,8
51683000005,8
51683000001,8
51683000006,8
51683000002,8
51185000502,38
51185000501,38
51185000104,38
51185000102,38
51185000103,38
51185000112,38
51185000101,38
51185000106,38
51185000107,38
51185000109,38
51185000209,38
51185000401,38
51185000402,38
51185000214,38
51185000207,38
51185000203,38
51185000204,38
51185000303,38
51185000301,38
51185000302,38
51620000201,24
51620000101,24
51023000102,37
51023000101,37
51023000202,37
51023000201,37
51023000302,37
51023000301,37
51023000406,37
51023000403,37
51023000501,37
51023000502,37
51077000203,38
51077000108,38
51077000202,38
51077000101,38
51077000302,38
51077000301,38
51077000403,38
51077000402,38
51077004012,38
51077004011,38
51077000106,38
51077000105,38
51077000104,38
51077000107,38
51077000102,38
51077000103,38
51810000049,21
51810000003,21
51810000076,20
51810000002,21
51810000034,21
51810000061,20
51810000033,21
51810000064,21
51810000071,21
51810000098,21
51810000060,21
51810000082,21
51810000079,20
51810000043,22
51810000056,20
51810000031,21
51810000050,21
51810000013,20
51810000030,21
51810000039,20
51810000040,20
51810000023,20
51810000072,21
51810000020,20
51810000059,20
51810000019,20
51810000069,20
51810000077,20
51810000004,21
51810000029,20
51810000012,20
51810000038,20
51810000093,20
51810000021,20
51810000011,21
51810000075,21
51810000010,21
51810000016,20
51810000052,22
51810000026,20
51810000036,20
51810000025,22
51810000037,20
51810000088,21
51810000005,21
51810000018,20
51810000015,20
51810000091,20
51810000045,21
51810000073,21
51810000087,21
51810000081,21
51810000058,21
51810000054,21
51810000080,21
51810000046,21
51810000085,21
51810000068,22
51810000027,22
51810000097,22
51810000047,20
51810000008,21
51810000066,21
51810000083,21
51810000053,20
51810000051,22
51810000057,22
51810000041,22
51810000090,20
51810000017,20
51810000096,21
51810000094,20
51810000062,21
51810000074,21
51810000014,20
51810000055,21
51810000099,21
51810000007,20
51810000009,21
51810000067,21
51810000048,21
51810000086,20
51810000089,22
51810000035,21
51810000070,21
51810000095,21
51810000006,21
51810000001,21
51810000063,21
51810000042,22
51810000100,21
51810000032,21
51810000078,21
51810000024,20
51810000022,20
51810000044,22
51810000084,22
51810000092,20
51810000028,20
51810000065,22
51685000002,8
51685000001,8
51015000103,33
51015000101,33
51015000102,33
51015000201,33
51075000402,31
51001000101,20
